output_column,source_family,rows_total,rows_nonnull,fill_rate,distinct_nonnull_count,column_group,example_source_column
harm_ntee_code__source_column,nccs_bmf,29793,21418,0.7188936998623838,2,field_provenance,
harm_ntee_code__source_column,nccs_efile,3866,3160,0.8173823072943611,2,field_provenance,
harm_ntee_code__source_column,nccs_postcard,3461,2155,0.6226524125975151,2,field_provenance,
harm_subsection_code__source_family,givingtuesday_datamart,4381,4201,0.9589134900707601,1,field_provenance,
harm_subsection_code__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_subsection_code__source_family,nccs_efile,3866,3714,0.9606828763579928,1,field_provenance,
harm_subsection_code__source_family,nccs_postcard,3461,3091,0.8930944813637677,1,field_provenance,
harm_subsection_code__source_variant,givingtuesday_datamart,4381,4201,0.9589134900707601,3,field_provenance,
harm_subsection_code__source_variant,nccs_bmf,29793,29793,1.0,5,field_provenance,
harm_subsection_code__source_variant,nccs_efile,3866,3714,0.9606828763579928,3,field_provenance,
harm_subsection_code__source_variant,nccs_postcard,3461,3091,0.8930944813637677,4,field_provenance,
harm_subsection_code__source_column,givingtuesday_datamart,4381,4201,0.9589134900707601,2,field_provenance,
harm_subsection_code__source_column,nccs_bmf,29793,29793,1.0,2,field_provenance,
harm_subsection_code__source_column,nccs_efile,3866,3714,0.9606828763579928,2,field_provenance,
harm_subsection_code__source_column,nccs_postcard,3461,3091,0.8930944813637677,2,field_provenance,
harm_revenue_amount__source_family,givingtuesday_datamart,4381,4368,0.9970326409495549,1,field_provenance,
harm_revenue_amount__source_family,nccs_bmf,29793,25844,0.867452086060484,1,field_provenance,
harm_revenue_amount__source_family,nccs_efile,3866,3853,0.9966373512674599,1,field_provenance,
harm_revenue_amount__source_family,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_revenue_amount__source_variant,givingtuesday_datamart,4381,4368,0.9970326409495549,1,field_provenance,
harm_revenue_amount__source_variant,nccs_bmf,29793,25844,0.867452086060484,5,field_provenance,
harm_revenue_amount__source_variant,nccs_efile,3866,3853,0.9966373512674599,3,field_provenance,
harm_revenue_amount__source_variant,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_revenue_amount__source_column,givingtuesday_datamart,4381,4368,0.9970326409495549,3,field_provenance,
harm_revenue_amount__source_column,nccs_bmf,29793,25844,0.867452086060484,2,field_provenance,
harm_revenue_amount__source_column,nccs_efile,3866,3853,0.9966373512674599,1,field_provenance,
harm_revenue_amount__source_column,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_expenses_amount__source_family,givingtuesday_datamart,4381,4343,0.9913261812371604,1,field_provenance,
harm_expenses_amount__source_family,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_expenses_amount__source_family,nccs_efile,3866,3828,0.9901707190894982,1,field_provenance,
harm_expenses_amount__source_family,nccs_postcard,3461,0,0.0,0,field_provenance,
harm_expenses_amount__source_variant,givingtuesday_datamart,4381,4343,0.9913261812371604,1,field_provenance,
harm_expenses_amount__source_variant,nccs_bmf,29793,0,0.0,0,field_provenance,
harm_expenses_amount__source_variant,nccs_efile,3866,3828,0.9901707190894982,3,field_provenance,
harm_expenses_amount__source_variant,nccs_postcard,3461,0,0.0,0,field_provenance,
